cd_choc_s2,cd_choc_s2_gse,cd_choc_s2_passif_prst,cd_choc_s2_passif_ic_fgx,scenario,period,evenement,cd_societe,cd_canton,cd_prtf_ifrs17,cd_fampdt,cd_cnt,nb_cnt,cd_asse_sexe,dt_asse_naiss,dt_cnt_effet,mt_pm_eu,cd_hrg_eu,mt_pm_uc,cd_hrg_uc,cd_prst_rt_cat,cd_capitalisation,tmg,tmg_type,taf,tfgse,tfgse_uc,cd_hyp_mort_exp,cd_hyp_mort_prov,tx_prst_chgt,tx_action_t1,tx_action_t2,tx_action_strat,tx_immobilier,nb_asse_age_annee,nb_asse_age_mois,nb_cnt_anciennete_annee,nb_cnt_anciennete_mois,tmg_brt,generation,mt_pm_eu_av,mt_pm_uc_av,nb_cnt_av
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,1,1.0,H,1945-12-31,2004-12-31,1035.0,30001,259.0,31001,6,capi,0.0275,net,1.0,0.0107,0.0132,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,77,924,18,216,0.0382,1945,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,2,1.0,H,1949-10-31,2019-12-31,15264.0,30001,3816.0,31001,4,ncapi,0.0,net,0.9,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,73,878,3,36,0.010666666666666666,1949,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,3,1.0,H,1950-12-31,1994-12-31,905.0,30001,226.0,31001,2,ncapi,0.0,net,0.9,0.0066,0.0091,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,72,864,28,336,0.007333333333333333,1950,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,4,1.0,H,1950-02-28,2017-12-31,543532.0,30001,135883.0,31001,6,ncapi,0.0,net,0.9,0.0081,0.0106,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,72,874,5,60,0.009,1950,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,5,1.0,H,1952-02-29,2002-12-31,3548.0,30001,887.0,31001,6,ncapi,0.0025,net,1.0,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,70,850,20,240,0.0121,1952,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,6,1.0,H,1956-03-31,2002-12-31,4405.0,30001,1101.0,31001,6,ncapi,0.03,net,1.0,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,801,20,240,0.039599999999999996,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,7,1.0,H,1956-04-30,2006-12-31,1963.0,30001,491.0,31001,6,ncapi,0.0,net,1.0,0.009,0.0115,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,800,16,192,0.009,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,8,1.0,H,1956-07-31,2009-12-31,927.0,30001,232.0,31001,6,ncapi,0.0,net,0.85,0.0085,0.011,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,797,13,156,0.01,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,9,1.0,H,1956-08-31,2018-12-31,469909.0,30001,117477.0,31001,4,ncapi,0.0,net,0.9,0.0079,0.0104,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,796,4,48,0.008777777777777778,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,10,1.0,H,1957-05-31,2020-12-31,1051034.0,30001,262759.0,31001,6,ncapi,0.0,net,0.9,0.0079,0.0104,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,65,787,2,24,0.008777777777777778,1957,0.0,0.0,0.0
